CTD,20200325CCHSIO
NUMBER_HEADERS = 14
EXPOCODE = 325020190403
SECT_ID = I06S
STNNBR = 5
CASTNO = 2
DATE = 20190416
TIME = 2223
LATITUDE = -68.2795
LONGITUDE = 31.0967
DEPTH =   2321
INSTRUMENT_ID = 0830
CTDPRS,CTDPRS_FLAG_W,CTDTMP,CTDTMP_FLAG_W,CTDSAL,CTDSAL_FLAG_W,CTDOXY,CTDOXY_FLAG_W,CTDFLUOR,CTDFLUOR_FLAG_W,CTDBACKSCATTER,CTDBACKSCATTER_FLAG_W,CTDBEAMCP,CTDBEAMCP_FLAG_W
DBAR,,ITS-90,,PSS-78,,UMOL/KG,,0-5VDC,,0-5VDC,,/METER,
     246.0,2,    0.3961,2,   34.6064,2, -631.2032,2,    0.0653,1,    0.1498,1,    0.0095,2
     248.0,2,    0.4376,2,   34.6106,2, -589.6764,2,    0.0658,1,    0.1522,1,    0.0096,2
     250.0,2,    0.4586,2,   34.6134,2, -553.1472,2,    0.0671,1,    0.1672,1,    0.0095,2
     252.0,2,    0.4744,2,   34.6154,2,  -518.459,2,    0.0673,1,    0.1734,1,    0.0093,2
     254.0,2,    0.4864,2,   34.6169,2, -487.6437,2,    0.0664,1,    0.1698,1,    0.0092,2
     256.0,2,    0.4991,2,   34.6188,2, -450.5226,2,    0.0651,1,    0.1574,1,    0.0094,2
     258.0,2,    0.5167,2,   34.6212,2, -396.9903,2,    0.0647,1,     0.156,1,    0.0098,2
     260.0,2,    0.5333,2,   34.6234,2, -342.3481,2,    0.0643,1,    0.1523,1,    0.0099,2
     262.0,2,    0.5435,2,   34.6248,2, -305.4915,2,    0.0645,1,    0.1517,1,    0.0097,2
     264.0,2,    0.5501,2,    34.626,2, -279.9026,2,    0.0647,1,    0.1523,1,    0.0097,2
     266.0,2,    0.5528,2,   34.6268,2, -268.3871,2,    0.0645,1,    0.1526,1,    0.0100,2
     268.0,2,    0.5608,2,   34.6281,2, -236.7194,2,    0.0643,1,     0.153,1,    0.0102,2
     270.0,2,    0.5812,2,   34.6305,2, -152.7088,2,    0.0642,1,    0.1547,1,    0.0100,2
     272.0,2,    0.6039,2,   34.6333,2,  -49.0461,2,    0.0643,1,    0.1566,1,    0.0097,2
     274.0,2,    0.6235,2,   34.6357,2,   49.4877,2,    0.0644,1,    0.1566,1,    0.0095,2
     276.0,2,    0.6362,2,   34.6373,2,  117.7835,2,    0.0644,1,    0.1557,1,    0.0092,2
     278.0,2,     0.644,2,   34.6384,2,   160.907,2,    0.0645,1,    0.1554,1,    0.0090,2
     280.0,2,    0.6521,2,   34.6397,2,  206.4435,2,    0.0647,1,    0.1561,1,    0.0092,2
     282.0,2,    0.6609,2,   34.6411,2,   257.251,2,     0.064,1,     0.157,1,    0.0095,2
     284.0,2,     0.665,2,   34.6418,2,  281.1849,2,    0.0638,1,    0.1569,1,    0.0095,2
     286.0,2,     0.668,2,   34.6425,2,  298.0047,2,    0.0642,1,    0.1562,1,    0.0092,2
     288.0,2,    0.6691,2,   34.6431,2,  303.9697,2,    0.0644,1,    0.1558,1,    0.0090,2
     290.0,2,    0.6701,2,   34.6436,2,  308.7506,2,    0.0641,1,    0.1546,1,    0.0091,2
     292.0,2,    0.6616,2,    34.644,2,  256.8525,2,    0.0639,1,    0.1543,1,    0.0091,2
     294.0,2,    0.6477,2,   34.6441,2,  176.7016,2,    0.0639,1,    0.1548,1,    0.0089,2
     296.0,2,    0.6329,2,   34.6439,2,   95.6886,2,    0.0639,1,     0.155,1,    0.0087,2
     298.0,2,    0.6243,2,   34.6437,2,   51.4061,2,    0.0638,1,    0.1549,1,    0.0085,2
     300.0,2,    0.6162,2,   34.6436,2,   10.7931,2,    0.0636,1,    0.1539,1,    0.0084,2
     302.0,2,    0.6149,2,   34.6439,2,     4.641,2,    0.0639,1,    0.1544,1,    0.0084,2
     304.0,2,    0.6176,2,   34.6443,2,   17.8888,2,    0.0642,1,    0.1554,1,    0.0084,2
     306.0,2,    0.6221,2,   34.6448,2,   40.9018,2,    0.0644,1,    0.1564,1,    0.0084,2
     308.0,2,    0.6271,2,   34.6455,2,   66.7786,2,    0.0645,1,    0.1578,1,    0.0084,2
     310.0,2,    0.6326,2,   34.6463,2,    96.196,2,    0.0644,1,    0.1574,1,    0.0084,2
     312.0,2,    0.6363,2,   34.6469,2,  116.1783,2,     0.064,1,    0.1569,1,    0.0084,2
     314.0,2,    0.6399,2,   34.6476,2,  135.7779,2,    0.0638,1,    0.1583,1,    0.0084,2
     316.0,2,     0.646,2,   34.6485,2,  170.1975,2,    0.0638,1,    0.1607,1,    0.0084,2
     318.0,2,    0.6541,2,   34.6496,2,  217.0106,2,    0.0637,1,     0.161,1,    0.0084,2
     320.0,2,    0.6723,2,   34.6517,2,  329.4598,2,    0.0647,1,    0.1657,1,    0.0085,2
     322.0,2,    0.6988,2,   34.6545,2,  507.6721,2,     0.069,1,    0.1911,1,    0.0086,2
     324.0,2,    0.7232,2,   34.6571,2,  685.1806,2,    0.0714,1,    0.2075,1,    0.0084,2
     326.0,2,    0.7377,2,   34.6587,2,  793.8233,2,    0.0684,1,    0.1915,1,    0.0082,2
     328.0,2,    0.7429,2,   34.6597,2,  829.1753,2,    0.0641,1,     0.162,1,    0.0082,2
     330.0,2,    0.7461,2,   34.6605,2,  849.1339,2,     0.063,1,    0.1538,1,    0.0081,2
     332.0,2,    0.7494,2,   34.6613,2,  872.1595,2,    0.0633,1,    0.1552,1,    0.0079,2
