CTD,20171201CCHSIOSEE
NUMBER_HEADERS = 14
EXPOCODE = 33RR20080204
SECT_ID = I06S
STNNBR = 97
CASTNO = 1
DATE = 20080305
TIME = 2343
LATITUDE = -68.2939
LONGITUDE = 31.1577
DEPTH =  1965
INSTRUMENT_ID = 725
CTDPRS,CTDPRS_FLAG_W,CTDTMP,CTDTMP_FLAG_W,CTDSAL,CTDSAL_FLAG_W,CTDOXY,CTDOXY_FLAG_W,FLUORM,FLUORM_FLAG_W,PAR,PAR_FLAG_W,SPAR,SPAR_FLAG_W,CTDNOBS,CTDETIME,CTDBEAMCP,CTDBEAMCP_FLAG_W
DBAR,,ITS-90,,PSS-78,,UMOL/KG,,0-5VDC,,0-5VDC,,0-5VDC,,,SECONDS,/METER,
     268.0,2,   -0.8832,2,   34.4506,2,     280.6,2,     0.233,1,  -999.000,9,     0.005,1,        48,     891.4,    0.0060,2
     270.0,2,   -0.8814,2,   34.4512,2,     280.0,2,     0.233,1,  -999.000,9,     0.005,1,        36,     893.2,    0.0060,2
     272.0,2,   -0.8757,2,   34.4519,2,     279.3,2,     0.233,1,  -999.000,9,     0.005,1,        84,     895.7,    0.0060,2
     274.0,2,   -0.8607,2,   34.4540,2,     278.7,2,     0.233,1,  -999.000,9,     0.005,1,        47,     898.4,    0.0060,2
     276.0,2,   -0.7910,2,   34.4612,2,     278.3,2,     0.233,1,  -999.000,9,     0.005,1,        48,     900.4,    0.0052,2
     278.0,2,   -0.7673,2,   34.4640,2,     278.0,2,     0.233,1,  -999.000,9,     0.005,1,        36,     902.2,    0.0060,2
     280.0,2,   -0.7343,2,   34.4680,2,     276.9,2,     0.232,1,  -999.000,9,     0.005,1,        47,     903.9,    0.0060,2
     282.0,2,   -0.6872,2,   34.4732,2,     275.2,2,     0.233,1,  -999.000,9,     0.005,1,        71,     906.4,    0.0060,2
     284.0,2,   -0.6813,2,   34.4744,2,     273.6,2,     0.233,1,  -999.000,9,     0.005,1,        48,     908.9,    0.0052,2
     286.0,2,   -0.6720,2,   34.4761,2,     272.6,2,     0.233,1,  -999.000,9,     0.005,1,        48,     910.9,    0.0060,2
     288.0,2,   -0.6274,2,   34.4827,2,     271.9,2,     0.233,1,  -999.000,9,     0.005,1,        48,     912.9,    0.0060,2
     290.0,2,   -0.6004,2,   34.4877,2,     271.4,2,     0.232,1,  -999.000,9,     0.005,1,        48,     914.9,    0.0052,2
     292.0,2,   -0.5927,2,   34.4894,2,     270.5,2,     0.232,1,  -999.000,9,     0.005,1,        48,     916.9,    0.0060,2
     294.0,2,   -0.5916,2,   34.4901,2,     269.4,2,     0.232,1,  -999.000,9,     0.005,1,        72,     919.4,    0.0060,2
     296.0,2,   -0.5918,2,   34.4906,2,     268.7,2,     0.233,1,  -999.000,9,     0.005,1,        48,     921.9,    0.0052,2
     298.0,2,   -0.5913,2,   34.4910,2,     268.4,2,     0.232,1,  -999.000,9,     0.005,1,        36,     923.7,    0.0060,2
     300.0,2,   -0.5900,2,   34.4912,2,     268.4,2,     0.233,1,  -999.000,9,     0.005,1,        48,     925.4,    0.0060,2
     302.0,2,   -0.5875,2,   34.4920,2,     268.3,2,     0.233,1,  -999.000,9,     0.005,1,        60,     927.7,    0.0052,2
     304.0,2,   -0.5884,2,   34.4918,2,     268.2,2,     0.232,1,  -999.000,9,     0.005,1,        60,     930.2,    0.0060,2
     306.0,2,   -0.5859,2,   34.4928,2,     268.1,2,     0.232,1,  -999.000,9,     0.005,1,        36,     932.2,    0.0060,2
     308.0,2,   -0.5844,2,   34.4932,2,     268.0,2,     0.233,1,  -999.000,9,     0.005,1,        36,     933.7,    0.0052,2
     310.0,2,   -0.5837,2,   34.4932,2,     268.0,2,     0.232,1,  -999.000,9,     0.005,1,        36,     935.2,    0.0052,2
     312.0,2,   -0.5827,2,   34.4934,2,     267.8,2,     0.232,1,  -999.000,9,     0.005,1,        72,     937.4,    0.0068,2
     314.0,2,   -0.5835,2,   34.4935,2,     267.6,2,     0.232,1,  -999.000,9,     0.005,1,        48,     939.9,    0.0060,2
     316.0,2,   -0.5838,2,   34.4937,2,     267.5,2,     0.232,1,  -999.000,9,     0.005,1,        36,     941.7,    0.0060,2
     318.0,2,   -0.5815,2,   34.4940,2,     267.5,2,     0.232,1,  -999.000,9,     0.005,1,        48,     943.4,    0.0060,2
     320.0,2,   -0.5774,2,   34.4948,2,     267.5,2,     0.232,1,  -999.000,9,     0.005,1,        48,     945.4,    0.0060,2
     322.0,2,   -0.5751,2,   34.4951,2,     267.3,2,     0.232,1,  -999.000,9,     0.005,1,        60,     947.7,    0.0068,2
     324.0,2,   -0.5730,2,   34.4955,2,     267.1,2,     0.232,1,  -999.000,9,     0.005,1,        36,     949.7,    0.0052,2
     326.0,2,   -0.5695,2,   34.4963,2,     266.9,2,     0.232,1,  -999.000,9,     0.005,1,        48,     951.4,    0.0052,2
     328.0,2,   -0.5679,2,   34.4966,2,     266.8,2,     0.232,1,  -999.000,9,     0.005,1,        48,     953.4,    0.0052,2
     330.0,2,   -0.5626,2,   34.4975,2,     266.6,2,     0.232,1,  -999.000,9,     0.005,1,        48,     955.4,    0.0052,2
     332.0,2,   -0.5595,2,   34.4981,2,     266.4,2,     0.232,1,  -999.000,9,     0.005,1,        60,     957.7,    0.0052,2
     334.0,2,   -0.5537,2,   34.4990,2,     266.1,2,     0.232,1,  -999.000,9,     0.005,1,        47,     959.9,    0.0052,2
     336.0,2,   -0.5422,2,   34.5010,2,     266.0,2,     0.232,1,  -999.000,9,     0.005,1,        36,     961.7,    0.0052,2
     338.0,2,   -0.5384,2,   34.5017,2,     265.8,2,     0.232,1,  -999.000,9,     0.005,1,        48,     963.4,    0.0052,2
     340.0,2,   -0.5330,2,   34.5027,2,     265.7,2,     0.232,1,  -999.000,9,     0.005,1,        36,     965.2,    0.0052,2
     342.0,2,   -0.5264,2,   34.5044,2,     265.5,2,     0.232,1,  -999.000,9,     0.005,1,        59,     967.2,    0.0052,2
     344.0,2,   -0.5035,2,   34.5085,2,     265.2,2,     0.232,1,  -999.000,9,     0.005,1,        59,     969.6,    0.0052,2
     346.0,2,   -0.4192,2,   34.5225,2,     264.6,2,     0.232,1,  -999.000,9,     0.005,1,        36,     971.7,    0.0052,2
     348.0,2,   -0.4029,2,   34.5262,2,     264.1,2,     0.232,1,  -999.000,9,     0.005,1,        48,     973.4,    0.0044,2
     350.0,2,   -0.3864,2,   34.5292,2,     262.7,2,     0.232,1,  -999.000,9,     0.005,1,        36,     975.2,    0.0044,2
     352.0,2,   -0.3794,2,   34.5305,2,     261.3,2,     0.232,1,  -999.000,9,     0.005,1,        59,     977.2,    0.0052,2
     354.0,2,   -0.3724,2,   34.5321,2,     260.4,2,     0.232,1,  -999.000,9,     0.005,1,        36,     979.2,    0.0052,2
     356.0,2,   -0.3632,2,   34.5338,2,     259.8,2,     0.232,1,  -999.000,9,     0.005,1,        47,     980.9,    0.0052,2
     358.0,2,   -0.3592,2,   34.5345,2,     259.3,2,     0.232,1,  -999.000,9,     0.005,1,        60,     983.2,    0.0044,2
